Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu
MMA Agents,1,75-80ans,PC,432099.3817310203,23391047.2,9594,374,23379591.05,5566320.33,23448494.73637512,16460731.47510493,251584329.9760749
MMA Agents,1,75-80ans,PP,13169.3665654838,1143818.34,563,23,1142453.64,187853.95,1148682.828131112,479033.6824169862,8744109.131537635
MMA Courtage,0,0-30ans,NC,4102.812047856007,8564.76,811,0,0.0,0.0,161557.9734287044,53798.80515175855,0.0
MMA Courtage,0,0-30ans,PC,1716515.884873893,40937091.03,6336,826,40195391.99,17580468.27,44632102.66759832,389223.2594500809,704415854.7265513
MMA Courtage,0,30-40ans,NC,21989.96866499761,44078.73,4438,0,0.0,0.0,821600.4164160397,273592.9386665412,0.0
MMA Courtage,0,30-40ans,PC,1739731.24993086,30320594.3,7708,1218,29175203.27,15197547.27,37520195.24137457,1325607.996540977,546849697.2501262
MMA Courtage,0,40-50ans,NC,21720.61700592454,36207.34,9673,0,0.0,0.0,629619.5231967015,209663.3012245017,0.0
MMA Courtage,0,40-50ans,PC,3567603.230880626,59238374.07999999,16504,2198,57513241.68,31526540.87,70215074.57890579,6295723.782590294,1087817380.479552
MMA Courtage,0,50-60ans,NC,6915.41286190051,11466.38,2576,0,0.0,0.0,155749.512599086,51864.58769549563,0.0
MMA Courtage,0,50-60ans,PC,5818743.648753162,122580890.54,28849,3089,120203963.03,60676106.31999999,137726221.5363836,28234862.45078706,1975117958.659216
MMA Courtage,0,60-70ans,NC,1336.619113601984,3100.19,727,0,0.0,0.0,23591.61435148804,7856.007579045516,0.0
MMA Courtage,0,60-70ans,PC,5356603.269626962,142266114.85,26750,2465,141006920.71,67382654.86,149792221.0592051,58910395.67248236,2045462160.900226
MMA Courtage,1,+80ans,NC,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,1,+80ans,PC,181663.3989567348,27439714.88,13780,381,27397571.82,3537788.430000001,27603072.21166679,20597954.62419831,178924379.2345314
MMA Courtage,1,70-75ans,NC,0.0,0.0,25,0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,1,70-75ans,PC,1520565.696270969,50661025.22,10620,626,50518199.3,30031014.55,51403359.13419053,28419431.03476124,637829954.462144
MMA Courtage,1,75-80ans,NC,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,1,75-80ans,PC,496972.6886256778,26946468.01,7203,387,26885315.78,11426849.99,27238348.27213967,16920595.31376666,272162138.0860388
MMA CAP,0,0-30ans,NC,6817.921788277108,6637.129999999999,254,0,0.0,0.0,125381.5408707859,41752.05310997168,0.0
MMA CAP,0,0-30ans,PC,557162.4809138193,6859114.77,11579,575,6646167.850000001,2755013.23,8116674.062091081,136682.1243751212,146997886.5979579
MMA CAP,0,30-40ans,NC,26573.73905130722,25882.0,1448,0,0.0,0.0,471972.6995689509,157166.9089564607,0.0
MMA CAP,0,30-40ans,PC,638856.4421514549,6831586.35,6690,310,6662230.59,3291706.18,7873721.06140627,380523.5259963049,150554710.2920058
MMA CAP,0,40-50ans,NC,52640.26116308397,53647.34,9570,0,0.0,0.0,859109.6608787979,286083.5170726397,0.0
MMA CAP,0,40-50ans,PC,995699.739536651,11858362.79,16526,1212,11413872.22,5294668.029999999,14838551.44449623,2038935.783557019,287417190.3790653
MMA CAP,0,50-60ans,NC,47043.9436798961,58523.3,4422,0,0.0,0.0,691764.820098278,230357.6850927266,0.0
MMA CAP,0,50-60ans,PC,2197052.528159486,32411060.49999999,38006,3347,31223259.52,14615337.39,40155176.7160338,12262511.69045003,713027696.4777107
MMA CAP,0,60-70ans,NC,11159.96501959299,24498.24,2075,0,0.0,0.0,151194.7548547512,50347.85336663215,0.0
MMA CAP,0,60-70ans,PC,2032876.279775901,41505392.65000004,32872,1998,40398106.61999999,16574644.89,48108086.26674907,22399364.99840225,737848672.7085937
MMA CAP,1,+80ans,PC,10164.88437185325,17969238.19000001,14549,399,17856670.09000001,735725.0899999999,18417620.12846212,14627113.3746367,119985755.2462547
MMA CAP,1,70-75ans,NC,0.0,0.0,154,0,0.0,0.0,0.0,0.0,0.0
MMA CAP,1,70-75ans,PC,438005.2496544114,12688103.19,13178,499,12300948.73,5136220.739999999,14722934.86331097,8721331.84595611,183402534.5868816
MMA CAP,1,75-80ans,NC,0.0,0.0,9,0,0.0,0.0,0.0,0.0,0.0
MMA CAP,1,75-80ans,PC,154993.5798642536,8357213.590000005,9084,291,8062475.93,3018010.61,9740021.42148382,6472938.370355195,96315355.31845734
MMA,0,0-30ans,GP,435698.5623181412,12411786.54,34643,2433,11918141.43,3335462.04,15201247.10265057,195988.069148959,246518065.7255164
MMA,0,0-30ans,NC,139298.4185224974,183595.8200000002,12171,0,0.0,0.0,3468817.314440455,1155116.165708671,0.0
MMA,0,0-30ans,PC,3444779.795771901,60767896.10999999,22322,1781,59711891.24,26516513.77000001,66319937.59786981,702352.5249884394,1118980006.117352
MMA,0,0-30ans,PP,13271.2725513539,698155.2000000001,820,61,664912.84,161876.44,827499.3293816953,3510.528950446756,7052491.660277588
MMA,0,30-40ans,GP,758569.31848556,15659764.36000001,28575,1865,14968683.37,4545241.17,20151562.25895767,985154.2552850059,368476121.10939
MMA,0,30-40ans,NC,328140.8810318286,533181.790000001,37202,0,0.0,0.0,9866069.531950496,3285401.154139515,0.0
MMA,0,30-40ans,PC,2950069.100989447,44849052.32000001,15676,1649,43393602.04,21214255.27,54073455.06878348,2147731.10682098,861863242.9907392
MMA,0,30-40ans,PP,19420.41039175212,185202.67,230,20,141521.05,85998.61000000002,469335.4098773127,24437.61332881109,7832196.194361079
MMA,0,40-50ans,GP,1660795.086926627,30439736.59000003,55168,3673,28877437.41,10624527.28,40476737.75118716,5191320.199304922,765719035.0207002
MMA,0,40-50ans,NC,459593.9074985217,649648.6500000006,185215,0,0.0,0.0,10858937.83779221,3616026.299984805,0.0
MMA,0,40-50ans,PC,6060288.490548355,92430307.39999993,36804,3841,89942638.49,44616220.84,108631336.2318446,11581816.12391788,1835235150.052752
MMA,0,40-50ans,PP,147907.283134702,2447287.31,1027,117,2169029.89,900484.07,4246557.508446591,393643.305127593,61677049.78721715
MMA,0,50-60ans,GP,2446688.353979145,58307332.62999991,73632,5282,56192646.72,15733751.95,71655557.78276457,19214625.50192462,1183542486.89442
MMA,0,50-60ans,NC,226569.2610496353,363279.7900000003,35501,2,687.12,0.0,4807672.694248493,1600955.007184748,0.0
MMA,0,50-60ans,PC,11709478.59537131,216373759.0900001,77862,7624,211933193.29,96953258.83999997,245455789.5693159,61035310.77149029,3941052339.740237
MMA,0,50-60ans,PP,187998.6636541087,5103907.26,1947,205,4800102.58,1576890.71,6986956.368383926,1212397.136011628,89390716.34224728
MMA,0,60-70ans,GP,2077633.862418897,69907932.54000005,80197,3878,68868809.62,15072882.76,75610327.68234082,31064041.29100603,1079079632.253776
MMA,0,60-70ans,NC,53768.09199748939,133059.33,15527,0,0.0,0.0,944479.7495467234,314511.7565990588,0.0
MMA,0,60-70ans,PC,11331303.19693029,280014093.0899999,78712,5861,277187856.6300001,112995964.2,297214148.015132,129867801.9636105,4376476821.926025
MMA,0,60-70ans,PP,204123.353692655,9005655.250000002,1844,142,8862222.27,2366921.59,9889664.384752478,2439908.340437199,102492757.3689154
MMA,1,+80ans,GP,171857.5986322557,25159492.63,46793,1123,25051693.96,1005717.09,25563823.90733903,19756115.70404159,167096176.0180528
MMA,1,+80ans,NC,0.0,0.0,77,0,0.0,0.0,0.0,0.0,0.0
